,ZIP,2021_Median_Household_Income,2026_Median_Household_Income,2021_Average_Household_Income,2026_Average_Household_Income,2021-2026_Population:_Compound_Annual_Growth_Rate
22373,67036,43423,44942,66297,70935,-0.61
22374,67037,77904,84630,95060,105302,1.02
22375,67038,58952,66845,77908,86986,0.06
22376,67039,61741,66335,79250,88325,0.19
22377,67041,67375,75000,82347,92876,0.28
22378,67042,50654,56451,66003,73990,0.06
22379,67045,41964,44706,59521,65380,-1.32
22380,67047,50874,54098,68397,75308,-1.0
22381,67049,44898,47899,67633,71896,-0.42
22382,67050,100059,104013,109846,122610,0.69
22383,67051,60354,66242,77722,86252,-0.26
22384,67052,92551,102416,110844,124006,0.86
22385,67053,63573,66558,77428,83755,-0.25
22386,67054,50823,54200,69130,75971,-0.62
22387,67055,108963,118327,123381,137253,2.9
22388,67056,59173,64638,69826,79932,-0.08
22389,67057,55473,61731,68450,76092,-0.9
22390,67058,48108,50532,63528,68911,-0.94
22391,67059,53970,56427,64495,69907,-0.93
22392,67060,60811,65878,74975,85633,0.3
22393,67061,50756,52611,73395,80909,-0.71
22394,67062,67095,73683,74244,81512,0.0
22395,67063,58139,59296,73781,78265,-0.62
22396,67065,75544,81064,80144,87035,-0.41
22397,67066,66491,73678,87280,96975,-0.07
22398,67067,96162,100461,98718,108876,1.21
22399,67068,59717,63765,85418,91657,-0.9
22400,67070,52309,56267,70562,78127,-0.81
22401,67071,71677,82266,76298,82641,-0.71
22402,67072,55283,61775,66294,75189,-0.39
22403,67073,75516,81795,101223,110514,-0.18
22404,67074,61310,67949,71978,81297,-0.2
22405,67101,79851,87078,99012,111632,2.04
22406,67102,51450,59412,59746,68694,-0.35
22407,67103,72156,80839,95871,109170,-0.84
22408,67104,50560,52894,66044,71659,-0.77
22409,67105,58990,65127,75780,86675,-0.4
22410,67106,62623,69518,81290,92843,-0.13
22411,67107,56954,62849,68562,77433,0.12
22412,67108,68659,75259,81666,92191,0.55
22413,67109,59115,63784,71671,79153,-0.33
22414,67110,70071,76877,81532,91770,0.09
22415,67111,78627,87768,91330,100219,-0.71
22416,67112,63570,71964,82878,90382,-1.28
22417,67114,55141,58417,70452,77593,-0.16
22418,67117,66697,70924,83248,89650,0.21
22419,67118,64398,72722,85193,93391,-0.62
22420,67119,59877,66447,72025,80947,-0.29
22421,67120,61536,68406,74009,82422,-0.38
22422,67122,58409,63482,77408,82285,-1.2
22423,67123,49857,56469,73823,84967,0.13
22424,67124,53460,56361,73088,79449,-0.58
22425,67127,54266,57262,71405,76833,-0.42
22426,67131,62862,72791,77287,86458,-0.33
22427,67132,55409,60220,65367,74414,-0.38
22428,67133,73416,78990,90207,98575,0.43
22429,67134,65090,73211,89905,99893,-0.72
22430,67135,74288,80669,89713,101531,0.19
22431,67137,61757,66432,82131,88082,-1.31
22432,67138,45627,49539,70002,76930,-0.93
22433,67140,56577,63295,69044,78510,-0.79
22434,67142,62929,71109,85787,93548,-0.83
22435,67143,76472,86962,77327,84046,-0.9
22436,67144,62056,66994,81095,89278,0.66
22437,67146,59408,66221,77209,85638,-0.29
22438,67147,86520,98565,100403,112871,0.85
22439,67149,95604,103104,115851,129279,0.57
22440,67150,50000,60444,73964,79379,-0.55
22441,67151,62445,70132,83599,94098,-0.21
22442,67152,52158,55445,66353,73220,-0.74
22443,67154,61485,66929,91035,102260,0.18
22444,67155,77407,81482,99160,107919,-0.48
22445,67156,51846,53874,63356,68596,-0.57
22446,67159,63876,73308,82477,90448,-1.29
22447,67202,32424,36733,46367,51970,2.27
22448,67203,46506,51637,58580,65829,0.26
22449,67204,54689,58352,67880,75721,0.32
22450,67205,110102,117154,125371,139675,1.15
22451,67206,89269,98177,126598,138705,0.73
22452,67207,53684,57560,68965,76551,0.4
22453,67208,53383,57748,72998,81149,0.13
22454,67209,77116,81754,83691,93211,0.2
22455,67210,44956,50431,56307,62699,0.01
22456,67211,35819,39393,46225,52311,0.12
22457,67212,60660,66900,74925,83113,0.26
22458,67213,38058,41915,47736,54055,0.25
22459,67214,27144,30226,37709,42375,0.18
22460,67215,91173,100976,95701,106751,0.61
22461,67216,43854,49107,54435,61090,0.08
22462,67217,52917,56612,63084,70505,0.25
22463,67218,42624,47191,57744,64223,0.26
22464,67219,57049,63701,72589,82331,0.57
22465,67220,65269,74963,77948,87080,0.33
22466,67221,64576,64576,70833,62825,-0.39
22467,67223,103066,106611,119518,131088,1.12
22468,67226,78993,88400,106695,117609,1.01
22469,67227,84408,95214,99846,111288,0.77
22470,67228,114754,120444,147369,160809,1.95
22471,67230,118003,124182,153448,167847,1.17
22472,67232,69603,74377,99152,112972,0.66
22473,67235,107479,113894,125436,138601,1.18
22474,67260,0,0,0,0,0.0
22475,67301,48716,50578,58719,63049,-1.0
22476,67330,54965,55670,68255,71936,-0.6
22477,67332,52409,59364,67743,75906,0.08
22478,67333,49413,53977,62045,70089,-1.02
22479,67334,35000,37134,34167,37000,0.0
22480,67335,46647,51125,57763,64386,-0.94
22481,67336,37821,38933,49051,52443,-0.11
22482,67337,42828,45910,61164,66432,-1.1
22483,67340,59174,61859,77061,85135,-1.14
22484,67341,66751,70664,90684,98437,-0.04
22485,67342,56370,59782,70654,77502,-1.16
22486,67344,43281,45745,56459,62000,-1.01
22487,67345,54613,65018,88507,99239,-0.82
22488,67346,52597,54965,65206,70126,-0.81
22489,67347,56256,61304,68555,77012,-0.05
22490,67349,43728,48899,60663,67018,-0.97
22491,67351,48873,52078,64696,69748,-0.31
22492,67352,36627,37650,48393,52295,0.03
22493,67353,37881,40580,49459,54933,0.06
22494,67354,51145,54348,61161,67131,-0.66
22495,67355,36464,37652,58440,62745,-0.33
22496,67356,47659,51396,63445,70069,-0.91
22497,67357,45362,48443,58546,63122,-0.98
22498,67360,38801,40096,55570,59854,-0.64
22499,67361,41391,43446,58608,63730,-1.11
22500,67363,59164,68088,88773,98874,-1.44
22501,67364,69579,76356,79361,89006,0.0
22502,67401,52516,55049,67828,73654,-0.48
22503,67410,54980,58759,74518,81407,-0.8
22504,67416,76629,84849,112308,122983,-0.62
22505,67417,60332,66984,78923,88831,-0.6
22506,67418,62029,69540,76460,82885,-1.03
22507,67420,47225,49029,63176,68340,-0.61
22508,67422,59966,62344,80370,86075,-0.52
22509,67423,63557,70033,76272,83121,-1.08
22510,67425,62948,68865,83384,92809,-0.42
22511,67427,48276,53106,70977,78645,-0.94
22512,67428,62672,67666,78818,86930,-0.08
22513,67430,43222,47498,63152,69948,-0.59
22514,67431,52266,53998,68067,72849,-0.62
22515,67432,50681,52215,69178,74612,-0.86
22516,67436,46989,50544,59648,65919,-0.62
22517,67437,55276,58308,67694,73404,-0.98
22518,67438,48694,52122,67465,75865,-0.66
22519,67439,53668,56053,64636,69136,-0.48
22520,67441,49621,52716,61197,67291,-0.07
22521,67442,65810,74359,86297,95977,-0.33
22522,67443,68653,73750,84644,92838,-0.1
22523,67444,51008,56645,70396,78261,-0.72
22524,67445,50927,56311,66001,73746,-0.59
22525,67446,44994,49249,63830,70730,-0.57
22526,67447,56993,63784,80588,94134,-0.56
22527,67448,62490,69962,77068,86009,-0.23
22528,67449,39992,43188,52777,58097,-1.09
22529,67450,61171,68786,70182,78225,-0.75
22530,67451,58763,64696,66837,74229,-0.86
22531,67452,62637,67591,71877,78817,-0.77
22532,67454,57283,60846,71552,78972,0.03
22533,67455,46734,48517,61453,66213,-1.07
22534,67456,56493,58617,71909,77025,-0.19
22535,67457,54421,60829,67604,75743,-0.73
22536,67458,52065,61033,70702,81470,-0.74
22537,67459,62225,69397,70106,78261,-0.82
22538,67460,57762,60474,78059,83881,-0.18
22539,67464,58972,62650,71986,80199,-0.43
22540,67466,50507,56451,68318,75989,-0.2
22541,67467,56544,59669,68209,74087,-0.76
22542,67468,56338,63420,76137,86051,-0.99
22543,67470,76488,87470,95859,104861,-0.23
22544,67473,51452,57445,68569,75960,-0.99
22545,67474,59462,65248,77646,85321,-0.98
22546,67475,47771,52588,65551,71996,-0.73
22547,67476,59164,59164,71348,79184,0.0
22548,67478,47142,52131,64784,72426,-0.21
22549,67480,64973,67991,75667,81064,-0.83
22550,67481,42600,45489,61659,69241,-0.39
22551,67482,76141,80076,86596,95348,-0.89
22552,67483,48589,52733,67132,74624,-0.71
22553,67484,55320,60408,72447,80790,-0.69
22554,67485,60870,66715,70733,78161,-0.72
22555,67487,60781,66637,77750,86219,-0.04
22556,67490,58586,67049,74903,83193,-0.4
22557,67491,68641,71077,84361,91104,-0.3
22558,67492,51661,55034,56071,62780,-0.36
22559,67501,39437,41269,51033,55299,-0.65
22560,67502,61952,63607,82329,87659,-0.62
22561,67505,37484,38205,51832,57542,-0.45
22562,67510,45759,50320,64642,73965,-0.88
22563,67511,50725,58046,69797,78824,-1.04
22564,67512,63368,70127,79254,87633,-0.91
22565,67513,53421,57486,62223,69188,-0.8
22566,67514,45185,48934,56743,63236,-0.05
22567,67515,51580,50000,71999,61250,-0.56
22568,67516,51865,55191,70744,78176,-0.7
22569,67518,53033,52327,70943,77277,-0.86
22570,67519,46454,47158,60528,66078,-0.42
22571,67520,49482,52333,56392,61249,-0.84
22572,67521,55185,57353,70657,77615,-0.81
22573,67522,59890,62965,74290,80515,0.04
22574,67523,55976,63507,72272,81232,-0.67
22575,67524,44981,48309,58319,64277,-1.08
22576,67525,59241,61426,74760,82678,-0.85
22577,67526,55514,60038,75612,83594,-0.85
22578,67529,57078,64034,73083,82045,-0.65
22579,67530,48955,51376,63614,68362,-0.78
22580,67543,56507,65185,75867,86305,0.03
22581,67544,51061,56561,58656,66574,-0.46
22582,67545,59608,67371,72745,80030,0.0
