,ADDRESS,STATE,CITY,ZIP,latitude,longitude,COSTCO_HEARING_CENTER
206,113 LINCOLN ST,GA,WOODSTOCK,30188,34.119874,-84.5157021,Yes
207,645 BARRETT PARKWAY NW,GA,KENNESAW,30144,34.00476,-84.569131,Yes
208,2900 CUMBERLAND MALL SE,GA,ATLANTA,30339,33.88075,-84.47206,Yes
209,5550 PARKWAY BLVD,GA,ATHENS,30606,,,Yes
210,2855 JORDAN CT,GA,ALPHARETTA,30004,34.090796,-84.277026,Yes
211,6350 PEACHTREE DUNWOODY RD,GA,ATLANTA,30328,33.928124,-84.35192,Yes
212,1211 BALD RIDGE MARINA RD,GA,CUMMING,30041,34.2122,-84.116293,Yes
213,500 BROOKHAVEN AVE NE,GA,ATLANTA,30319,33.87185,-84.33537,Yes
214,40 FISCHER CROSSINGS DR,GA,SHARPSBURG,30277,33.400461,-84.621576,Yes
215,3980 VENTURE DR,GA,DULUTH,30096,33.94909,-84.143252,Yes
216,1550 MALL OF GEORGIA BLVD,GA,BUFORD,30519,34.061632,-83.995033,Yes
217,1700 MOUNT ZION RD,GA,MORROW,30260,33.57221,-84.332962,No
218,825 CABELA DR,GA,AUGUSTA,30909,33.523611,-82.020329,Yes
219,200 MOSAIC CIRCLE,GA,POOLER,31322,32.0806428,-81.27739327,Yes
220,540 HALEAKALA HWY,HI,KAHULUI,96732,20.88789,-156.450595,Yes
221,73-5600 MAIAU ST,HI,KAILUA KONA,96740,19.68668,-156.01999,Yes
222,333 A KEAHOLE STREET,HI,HONOLULU,96825,21.28413,-157.71037,Yes
223,525 ALAKAWA ST,HI,HONOLULU,96817,21.3182,-157.8705,Yes
224,94-1231 KA UKA BLVD,HI,WAIPAHU,96797,21.41951,-158.00574,Yes
225,4589 KAPOLEI PKWY,HI,KAPOLEI,96707,21.327927,-158.08837,Yes
226,4300 NUHOU ST.,HI,LIHUE,96766,21.967733,-159.382315,Yes
227,7205 MILLS CIVIC PKWY,IA,WEST DES MOINES,50266,41.56148,-93.805176,Yes
228,2900 HEARTLAND DR,IA,CORALVILLE,52241,41.69812,-91.61474,Yes
229,2790 E 53RD ST,IA,DAVENPORT,52807,41.574795,-90.524329,Yes
230,4000 NE SPECTRUM DRIVE,IA,ANKENY,50021,,,Yes
231,2495 E. LINCOLN ROAD,ID,IDAHO FALLS,83401,43.511564,-111.984289,Yes
232,305 W QUINN RD,ID,POCATELLO,83201,42.905853,-112.455124,Yes
233,731 POLE LINE RD,ID,TWIN FALLS,83301,42.5929619,-114.4641176,Yes
234,2051 S COLE RD,ID,BOISE,83709,43.584761,-116.27414,Yes
235,3403 W. CHINDEN BLVD,ID,MERIDIAN,83646,43.6610822,-116.4362837,Yes
236,16700 N MARKET PLACE BLVD,ID,NAMPA,83687,43.61421,-116.591892,Yes
237,355 E NEIDER AVE,ID,COEUR D' ALENE,83815,47.707993,-116.781828,Yes
238,301 W WASHINGTON ST,IL,EAST PEORIA,61611,40.668718,-89.583786,Yes
239,5000 STADIUM DRIVE,IL,LOVES PARK,61111,42.32126,-88.961625,Yes
240,2002 N. NEIL ST,IL,CHAMPAIGN,61820,40.1405327,-88.2449229,Yes
241,221 S RANDALL RD,IL,SAINT CHARLES,60174,41.90885,-88.339954,Yes
242,250 N RANDALL RD,IL,LAKE IN THE HILLS,60156,42.179,-88.3383,Yes
243,1320 S ROUTE 59,IL,NAPERVILLE,60564,41.727494,-88.206013,Yes
244,16261 S. BOULEVARD PLACE,IL,PLAINFIELD,60586,41.5888021,-88.1690002,Yes
245,1255 EAST OGDEN AVE,IL,NAPERVILLE,60563,41.79853024,-88.12367612,Yes
246,505 W ARMY TRAIL RD,IL,BLOOMINGDALE,60108,41.939574,-88.129776,Yes
247,830 E BOUGHTON RD,IL,BOLINGBROOK,60440,41.726343,-88.033104,Yes
248,680 S RAND RD,IL,LAKE ZURICH,60047,42.184931,-88.092111,Yes
249,1375 N MEACHAM RD,IL,SCHAUMBURG,60173,42.05506,-88.044993,Yes
250,1901 W 22ND ST,IL,OAK BROOK,60523,41.846399,-87.962962,Yes
251,9915 W 159TH ST,IL,ORLAND PARK,60467,41.601236,-87.8601,Yes
252,999 N ELMHURST RD,IL,MOUNT PROSPECT,60056,42.083219,-87.93683,Yes
253,8400 W NORTH AVE,IL,MELROSE PARK,60160,41.90837,-87.83499,Yes
254,2500 SOUTH HARLEM AVE,IL,NORTH RIVERSIDE,60546,41.844613,-87.807113,Yes
255,25901 RIVERWOODS RD,IL,METTAWA,60045,42.23641,-87.90391,Yes
256,7300 S CICERO AVE,IL,CHICAGO,60629,41.76014,-87.74174,No
257,2900 PATRIOT BLVD,IL,GLENVIEW,60026,42.10668,-87.82247,Yes
258,7311 N MELVINA AVE,IL,NILES,60714,42.012081,-87.781808,Yes
259,1430 S ASHLAND AVE,IL,CHICAGO,60608,41.862588,-87.666296,Yes
260,2746 N CLYBOURN AVE,IL,CHICAGO,60614,41.931087,-87.676734,Yes
261,1310 E 79TH AVE,IN,MERRILLVILLE,46410,41.473777,-87.321652,Yes
262,1201 CROSS POINTE PL,IN,EVANSVILLE,47715,37.988621,-87.463817,Yes
